            table_name             |           column_name            
 rebranding_ai_generations         | user_name
 rebranding_ai_generations         | channel_key
 rebranding_ai_generations         | asset_label
 rebranding_ai_generations         | prompt
 rebranding_ai_generations         | model
 rebranding_ai_generations         | aspect_ratio
 rebranding_ai_generations         | file_path
 rebranding_ai_generations         | file_name
 rebranding_ai_generations         | mime_type
 rebranding_ai_generations         | status
 rebranding_ai_generations         | error_message
 sales_incentive_plans             | name
 sales_incentive_plans             | description
 sales_incentive_plans             | period_type
 sales_incentive_plans             | quarterly_bonus_rules
 sales_incentive_plans             | annual_bonus_rules
 sales_incentive_plans             | monthly_bonus_payment_channel
 sales_incentive_plans             | quarterly_bonus_payment_channel
 sales_incentive_plans             | annual_bonus_payment_channel
 sales_incentive_plans             | uncapped_bonus_type
 typeform_forms                    | form_id
 typeform_forms                    | title
 typeform_forms                    | description
 typeform_forms                    | webhook_tag
 typeform_forms                    | campaign_tag
 financial_tax_alerts              | tipo
 financial_tax_alerts              | titulo
 financial_tax_alerts              | descricao
 financial_tax_alerts              | acao_sugerida
 leads                             | full_name
 leads                             | phone
 leads                             | email
 leads                             | source
 leads                             | notes
 leads                             | status
 leads                             | cpf
 leads                             | rg
 leads                             | cnpj
 leads                             | company_name
 leads                             | business_segment
 leads                             | business_niche
 leads                             | street
 leads                             | street_number
 leads                             | complement
 leads                             | neighborhood
 leads                             | city
 leads                             | state
 leads                             | zip_code
 leads                             | business_street
 leads                             | business_street_number
 leads                             | business_complement
 leads                             | business_neighborhood
 leads                             | business_city
 leads                             | business_state
 leads                             | business_zip_code
 leads                             | bank_code
 leads                             | bank_name
 leads                             | bank_agency
 leads                             | bank_account
 leads                             | bank_account_type
 leads                             | pix_key
 leads                             | pix_key_type
 leads                             | instagram
 leads                             | avatar_url
 leads                             | revenue_range
 leads                             | external_id
 leads                             | external_source
 leads                             | mql
 leads                             | canal
 notas_fiscais                     | invoice_type
 notas_fiscais                     | invoice_number
 notas_fiscais                     | series
 notas_fiscais                     | access_key
 notas_fiscais                     | verification_code
 notas_fiscais                     | status
 notas_fiscais                     | cancellation_reason
 notas_fiscais                     | service_code
 notas_fiscais                     | cnae_code
 notas_fiscais                     | description
 notas_fiscais                     | external_id
 notas_fiscais                     | xml_url
 notas_fiscais                     | pdf_url
 notas_fiscais                     | city_code
 notas_fiscais                     | city_name
 notas_fiscais                     | notes
 consultant_bonus_payouts          | notes
 activity_types                    | name
 activity_types                    | icon
 activity_types                    | color
 activity_types                    | description
 activity_types                    | sector_id
 lead_timeline                     | event_type
 lead_timeline                     | title
 lead_timeline                     | description
 instagram_insights                | metric_type
 pipeline_filters                  | name
 pipeline_filters                  | match_type
 marketing_projects                | name
 marketing_projects                | description
 marketing_projects                | status
 marketing_projects                | cover_color
 marketing_projects                | cover_emoji
 conversations                     | external_thread_id
 zapp_conversation_assignments     | close_summary
 zapp_conversation_assignments     | close_ai_summary
 zapp_conversation_assignments     | close_outcome
 zapp_conversation_assignments     | close_notes
 vapid_keys                        | public_key
 vapid_keys                        | private_key
 client_stages                     | name
 client_stages                     | color
 client_stages                     | description
 sales_goal_metrics                | cargo
 sales_goal_metrics                | metric_key
 sales_goal_metrics                | metric_label
 sales_goal_metrics                | metric_unit
 sales_goal_metrics                | icon_name
 marketing_idea_checklist          | title
 risk_events                       | reason
 risk_events                       | evidence_snippet
 risk_events                       | image_url
 incentive_plan_share_links        | token
 incentive_plan_share_links        | label
